key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
SYNCOPE-182,2012-08-13,2012-08-17,1.0.0-incubating,1.0.1-incubating,1.0.1-incubating,[1.0.0-incubating],
SYNCOPE-187,2012-08-14,2012-08-14,1.0.0-incubating,1.0.1-incubating,1.0.1-incubating,[1.0.0-incubating, 1.1.0],
SYNCOPE-185,2012-08-14,2012-08-29,1.0.0-incubating,1.0.1-incubating,1.0.1-incubating,[1.0.0-incubating],
SYNCOPE-191,2012-08-27,2012-08-28,1.0.0-incubating,1.0.1-incubating,1.0.1-incubating,[1.0.0-incubating],
SYNCOPE-192,2012-08-29,2012-08-29,1.0.0-incubating,1.0.1-incubating,1.0.1-incubating,[1.0.0-incubating],
SYNCOPE-196,2012-09-03,2012-09-04,1.0.0-incubating,1.0.3-incubating,1.0.3-incubating,[1.0.0-incubating, 1.0.1-incubating],
SYNCOPE-197,2012-09-03,2012-09-05,1.0.0-incubating,1.0.3-incubating,1.0.3-incubating,[1.0.0-incubating, 1.0.1-incubating],
SYNCOPE-194,2012-09-03,2012-09-10,1.0.1-incubating,1.0.3-incubating,1.0.3-incubating,[1.0.1-incubating],
SYNCOPE-211,2012-09-20,2012-09-20,1.0.1-incubating,1.0.3-incubating,1.0.3-incubating,[1.0.1-incubating],
SYNCOPE-214,2012-10-04,2012-10-09,1.0.1-incubating,1.0.4,1.0.4,[1.0.1-incubating, 1.0.3-incubating, 1.0.2-incubating],
SYNCOPE-217,2012-10-09,2012-10-09,1.0.2-incubating,1.0.4,1.0.4,[1.0.2-incubating],
SYNCOPE-220,2012-10-13,2012-10-15,1.0.2-incubating,1.0.4,1.0.4,[1.0.2-incubating],
SYNCOPE-224,2012-10-16,2012-10-18,1.0.2-incubating,1.0.4,1.0.4,[1.0.2-incubating],
SYNCOPE-226,2012-10-18,2012-10-19,1.0.2-incubating,1.0.4,1.0.4,[1.0.2-incubating],
