Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
BOOKKEEPER,4,IBk,BestFirst (backward),none,none,0.385,0.085,0.617,0.124,0.139,0.163
BOOKKEEPER,5,IBk,BestFirst (backward),none,none,0.401,0.100,0.622,0.143,0.160,0.181
BOOKKEEPER,6,IBk,BestFirst (backward),none,none,0.426,0.099,0.623,0.144,0.160,0.187
BOOKKEEPER,7,IBk,BestFirst (backward),none,none,0.417,0.107,0.636,0.153,0.170,0.192
BOOKKEEPER,8,IBk,BestFirst (backward),none,none,0.424,0.107,0.623,0.154,0.171,0.194
BOOKKEEPER,9,IBk,BestFirst (backward),none,none,0.401,0.084,0.631,0.124,0.138,0.166
BOOKKEEPER,10,IBk,BestFirst (backward),none,none,0.433,0.111,0.631,0.160,0.177,0.201
BOOKKEEPER,1,RandomForest,none,SMOTE,none,0.297,0.320,0.760,0.271,0.308,0.271
BOOKKEEPER,2,RandomForest,none,SMOTE,none,0.292,0.310,0.759,0.263,0.301,0.264
BOOKKEEPER,3,RandomForest,none,SMOTE,none,0.313,0.342,0.766,0.290,0.327,0.291
BOOKKEEPER,4,RandomForest,none,SMOTE,none,0.295,0.309,0.755,0.264,0.301,0.264
BOOKKEEPER,5,RandomForest,none,SMOTE,none,0.288,0.311,0.759,0.262,0.299,0.262
BOOKKEEPER,6,RandomForest,none,SMOTE,none,0.307,0.320,0.761,0.277,0.313,0.277
BOOKKEEPER,7,RandomForest,none,SMOTE,none,0.292,0.320,0.757,0.267,0.305,0.267
BOOKKEEPER,8,RandomForest,none,SMOTE,none,0.298,0.320,0.762,0.271,0.309,0.272
BOOKKEEPER,9,RandomForest,none,SMOTE,none,0.301,0.316,0.763,0.271,0.308,0.271
BOOKKEEPER,10,RandomForest,none,SMOTE,none,0.299,0.328,0.769,0.276,0.313,0.276
BOOKKEEPER,1,NaiveBayes,none,SMOTE,none,0.146,0.401,0.694,0.153,0.214,0.177
BOOKKEEPER,2,NaiveBayes,none,SMOTE,none,0.147,0.402,0.687,0.154,0.215,0.178
BOOKKEEPER,3,NaiveBayes,none,SMOTE,none,0.148,0.402,0.696,0.155,0.216,0.179
BOOKKEEPER,4,NaiveBayes,none,SMOTE,none,0.147,0.398,0.691,0.153,0.214,0.177
BOOKKEEPER,5,NaiveBayes,none,SMOTE,none,0.148,0.403,0.695,0.155,0.216,0.179
BOOKKEEPER,6,NaiveBayes,none,SMOTE,none,0.148,0.405,0.698,0.155,0.217,0.180
BOOKKEEPER,7,NaiveBayes,none,SMOTE,none,0.148,0.403,0.696,0.155,0.216,0.179
BOOKKEEPER,8,NaiveBayes,none,SMOTE,none,0.148,0.405,0.690,0.155,0.216,0.179
BOOKKEEPER,9,NaiveBayes,none,SMOTE,none,0.148,0.403,0.696,0.156,0.217,0.180
BOOKKEEPER,10,NaiveBayes,none,SMOTE,none,0.149,0.406,0.696,0.157,0.218,0.181
BOOKKEEPER,1,IBk,none,SMOTE,none,0.277,0.405,0.741,0.287,0.329,0.293
BOOKKEEPER,2,IBk,none,SMOTE,none,0.273,0.390,0.737,0.279,0.321,0.284
BOOKKEEPER,3,IBk,none,SMOTE,none,0.284,0.406,0.740,0.293,0.334,0.299
BOOKKEEPER,4,IBk,none,SMOTE,none,0.278,0.398,0.732,0.286,0.327,0.291
BOOKKEEPER,5,IBk,none,SMOTE,none,0.269,0.391,0.730,0.276,0.319,0.282
BOOKKEEPER,6,IBk,none,SMOTE,none,0.288,0.409,0.742,0.297,0.338,0.302
BOOKKEEPER,7,IBk,none,SMOTE,none,0.274,0.390,0.729,0.280,0.321,0.285
BOOKKEEPER,8,IBk,none,SMOTE,none,0.273,0.398,0.734,0.281,0.323,0.287
BOOKKEEPER,9,IBk,none,SMOTE,none,0.277,0.401,0.737,0.286,0.328,0.292
BOOKKEEPER,10,IBk,none,SMOTE,none,0.286,0.410,0.745,0.296,0.337,0.301
BOOKKEEPER,1,RandomForest,none,none,SensitiveThreshold,0.290,0.387,0.785,0.292,0.332,0.295
BOOKKEEPER,2,RandomForest,none,none,SensitiveThreshold,0.291,0.376,0.788,0.289,0.328,0.291
BOOKKEEPER,3,RandomForest,none,none,SensitiveThreshold,0.302,0.399,0.787,0.304,0.344,0.308
BOOKKEEPER,4,RandomForest,none,none,SensitiveThreshold,0.296,0.379,0.780,0.293,0.333,0.296
BOOKKEEPER,5,RandomForest,none,none,SensitiveThreshold,0.288,0.388,0.782,0.291,0.331,0.294
BOOKKEEPER,6,RandomForest,none,none,SensitiveThreshold,0.292,0.383,0.786,0.291,0.331,0.294
BOOKKEEPER,7,RandomForest,none,none,SensitiveThreshold,0.289,0.381,0.782,0.289,0.329,0.292
BOOKKEEPER,8,RandomForest,none,none,SensitiveThreshold,0.298,0.391,0.784,0.299,0.338,0.302
BOOKKEEPER,9,RandomForest,none,none,SensitiveThreshold,0.294,0.381,0.788,0.292,0.332,0.295
BOOKKEEPER,10,RandomForest,none,none,SensitiveThreshold,0.296,0.387,0.788,0.296,0.336,0.299
BOOKKEEPER,1,NaiveBayes,none,none,SensitiveThreshold,0.154,0.365,0.684,0.159,0.217,0.176
BOOKKEEPER,2,NaiveBayes,none,none,SensitiveThreshold,0.154,0.366,0.681,0.158,0.216,0.176
BOOKKEEPER,3,NaiveBayes,none,none,SensitiveThreshold,0.153,0.365,0.685,0.158,0.216,0.175
BOOKKEEPER,4,NaiveBayes,none,none,SensitiveThreshold,0.154,0.366,0.683,0.158,0.216,0.176
BOOKKEEPER,5,NaiveBayes,none,none,SensitiveThreshold,0.155,0.368,0.684,0.160,0.218,0.178
BOOKKEEPER,6,NaiveBayes,none,none,SensitiveThreshold,0.155,0.368,0.687,0.159,0.218,0.177
BOOKKEEPER,7,NaiveBayes,none,none,SensitiveThreshold,0.154,0.368,0.684,0.159,0.217,0.177
BOOKKEEPER,8,NaiveBayes,none,none,SensitiveThreshold,0.154,0.366,0.680,0.158,0.217,0.176
BOOKKEEPER,9,NaiveBayes,none,none,SensitiveThreshold,0.154,0.368,0.684,0.159,0.218,0.177
BOOKKEEPER,10,NaiveBayes,none,none,SensitiveThreshold,0.154,0.366,0.683,0.158,0.217,0.176
BOOKKEEPER,1,IBk,none,none,SensitiveThreshold,0.286,0.401,0.713,0.293,0.334,0.297
BOOKKEEPER,2,IBk,none,none,SensitiveThreshold,0.284,0.388,0.712,0.287,0.328,0.291
BOOKKEEPER,3,IBk,none,none,SensitiveThreshold,0.289,0.405,0.715,0.296,0.337,0.301
BOOKKEEPER,4,IBk,none,none,SensitiveThreshold,0.282,0.385,0.707,0.285,0.326,0.289
BOOKKEEPER,5,IBk,none,none,SensitiveThreshold,0.279,0.396,0.707,0.287,0.328,0.291
BOOKKEEPER,6,IBk,none,none,SensitiveThreshold,0.288,0.402,0.716,0.295,0.336,0.300
BOOKKEEPER,7,IBk,none,none,SensitiveThreshold,0.279,0.387,0.706,0.283,0.324,0.287
BOOKKEEPER,8,IBk,none,none,SensitiveThreshold,0.285,0.395,0.711,0.291,0.331,0.295
BOOKKEEPER,9,IBk,none,none,SensitiveThreshold,0.284,0.396,0.713,0.290,0.331,0.295
BOOKKEEPER,10,IBk,none,none,SensitiveThreshold,0.292,0.403,0.719,0.298,0.339,0.303
BOOKKEEPER,1,RandomForest,BestFirst (backward),SMOTE,none,0.193,0.219,0.622,0.162,0.206,0.162
BOOKKEEPER,2,RandomForest,BestFirst (backward),SMOTE,none,0.187,0.200,0.614,0.150,0.194,0.150
BOOKKEEPER,3,RandomForest,BestFirst (backward),SMOTE,none,0.207,0.230,0.624,0.175,0.218,0.176
BOOKKEEPER,4,RandomForest,BestFirst (backward),SMOTE,none,0.193,0.210,0.626,0.158,0.201,0.158
BOOKKEEPER,5,RandomForest,BestFirst (backward),SMOTE,none,0.187,0.210,0.622,0.154,0.198,0.154
BOOKKEEPER,6,RandomForest,BestFirst (backward),SMOTE,none,0.182,0.207,0.619,0.149,0.194,0.149
BOOKKEEPER,7,RandomForest,BestFirst (backward),SMOTE,none,0.182,0.200,0.615,0.146,0.190,0.146
BOOKKEEPER,8,RandomForest,BestFirst (backward),SMOTE,none,0.199,0.213,0.624,0.163,0.206,0.163
BOOKKEEPER,9,RandomForest,BestFirst (backward),SMOTE,none,0.184,0.202,0.620,0.149,0.193,0.149
BOOKKEEPER,10,RandomForest,BestFirst (backward),SMOTE,none,0.204,0.225,0.626,0.171,0.214,0.171
BOOKKEEPER,1,NaiveBayes,BestFirst (backward),SMOTE,none,0.145,0.412,0.692,0.152,0.214,0.178
