MethodFullyQualifiedName,ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,IsBuggy
"core/src/main/java/org/apache/syncope/core/rest/data/AbstractAttributableDataBinder.java/fill(AbstractAttributable, AbstractAttributableMod, AttributableUtil, SyncopeClientCompositeException)",22,115,4,52,7,4,34,4,1,115,0,102,28.7500,0,no
"core/src/main/java/org/apache/syncope/core/rest/data/AbstractAttributableDataBinder.java/fill(AbstractAttributable, AbstractAttributableMod, AttributableUtil, SyncopeClientCompositeException)",19,115,4,52,7,4,34,4,1,115,0,102,28.7500,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),17,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),18,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),19,28,1,6,4,2,6,5,1,56,1,28,11.4000,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),13,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),14,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),15,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),16,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),10,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),11,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),12,28,1,6,4,2,7,3,1,56,0,28,18.6667,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),26,28,1,6,4,2,6,5,1,56,1,28,11.4000,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),20,28,1,6,4,2,6,5,1,56,1,28,11.4000,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),21,28,1,6,4,2,6,5,1,56,1,28,11.4000,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),22,28,1,6,4,2,6,5,1,56,1,28,11.4000,0,no
build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java/contextInitialized(ServletContextEvent),23,28,1,6,4,2,6,5,1,56,1,28,11.4000,0,no
"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java/getTaskTO(Task, TaskUtils, boolean)",28,49,3,23,3,2,5,3,1,55,6,55,20.3333,0,yes
"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java/getTaskTO(Task, TaskUtils, boolean)",29,49,3,23,3,2,5,3,1,55,6,55,20.3333,1,yes
"core/src/main/java/org/apache/syncope/core/propagation/impl/AbstractPropagationTaskExecutor.java/execute(PropagationTask, PropagationHandler)",6,58,2,13,4,2,9,1,1,58,0,58,58.0000,0,no
"core/src/main/java/org/apache/syncope/core/propagation/impl/AbstractPropagationTaskExecutor.java/execute(PropagationTask, PropagationHandler)",7,61,2,14,4,2,9,3,3,61,0,58,20.3333,0,no
"core/src/main/java/org/apache/syncope/core/propagation/impl/AbstractPropagationTaskExecutor.java/execute(PropagationTask, PropagationHandler)",8,61,2,14,4,2,9,3,3,61,0,58,20.3333,0,no
"core/src/main/java/org/apache/syncope/core/propagation/impl/AbstractPropagationTaskExecutor.java/execute(PropagationTask, PropagationHandler)",9,61,2,14,4,2,9,4,3,122,0,61,30.5000,0,no
client/cli/src/main/java/org/apache/syncope/client/cli/commands/report/ReportDelete.java/delete(),28,18,0,6,6,1,1,6,2,34,0,16,5.6667,0,no
client/cli/src/main/java/org/apache/syncope/client/cli/commands/report/ReportDelete.java/delete(),29,18,0,6,6,1,1,6,2,34,0,16,5.6667,0,no
client/cli/src/main/java/org/apache/syncope/client/cli/commands/report/ReportDelete.java/delete(),27,18,0,6,6,1,1,6,2,34,0,16,5.6667,0,no
"core/src/main/java/org/apache/syncope/core/sync/SyncopeSyncResultHandler.java/delete(SyncDelta, List, AttributableUtil, boolean)",5,45,4,14,5,2,5,2,1,45,0,44,22.5000,0,no
"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java/getTaskTO(Task, TaskUtils)",25,48,2,19,2,2,3,1,1,48,0,48,48.0000,0,no
"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java/getTaskTO(Task, TaskUtils)",27,53,2,21,2,3,5,4,2,54,0,48,13.5000,0,no
console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchPanel.java/buildSearchCond(List),6,53,1,14,3,2,8,2,1,53,0,45,26.5000,0,no
console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchPanel.java/buildSearchCond(List),7,53,1,14,3,2,8,2,1,53,0,45,26.5000,0,no
console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchPanel.java/buildSearchCond(List),8,53,1,14,3,2,8,2,1,53,0,45,26.5000,0,yes
console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchPanel.java/buildSearchCond(List),9,53,1,14,3,2,8,3,1,106,0,53,35.3333,0,yes
"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/DefaultPasswordRule.java/enforce(PasswordRuleConf, User)",29,62,2,31,3,2,8,2,2,124,0,62,62.0000,0,no
"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/DefaultPasswordRule.java/enforce(PasswordRuleConf, User)",27,62,2,31,3,2,8,2,2,124,0,62,62.0000,0,no
"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/DefaultPasswordRule.java/enforce(PasswordRuleConf, User)",28,62,2,31,3,2,8,2,2,124,0,62,62.0000,0,no
"client/console/src/main/java/org/apache/syncope/client/console/pages/ResourceModalPage.java/onSubmit(AjaxRequestTarget, Form)",24,34,2,10,3,1,6,1,1,1,0,1,1.0000,0,no
cli/src/main/java/org/apache/syncope/cli/commands/ReportCommand.java/execute(),23,86,0,24,11,3,6,2,2,172,0,86,86.0000,0,no
"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/RoleDataBinderImpl.java/update(Role, RoleMod)",24,63,2,30,3,2,9,1,1,63,0,63,63.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),20,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),21,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),26,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),22,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),23,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),19,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),17,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/jexl/JexlUtil.java/getEngine(),18,8,0,1,1,1,0,2,1,16,0,8,8.0000,0,no
"console/src/main/java/org/apache/syncope/console/pages/panels/PushTasksPanel.java/getActions(String, IModel)",20,51,2,3,2,1,7,1,1,51,0,51,51.0000,0,no
"console/src/main/java/org/apache/syncope/console/pages/panels/PushTasksPanel.java/getActions(String, IModel)",21,51,2,3,2,1,7,1,1,51,0,51,51.0000,0,no
"console/src/main/java/org/apache/syncope/console/pages/panels/PushTasksPanel.java/getActions(String, IModel)",22,51,2,3,2,1,7,1,1,51,0,51,51.0000,0,no
"console/src/main/java/org/apache/syncope/console/pages/panels/PushTasksPanel.java/getActions(String, IModel)",23,51,2,3,2,1,7,1,1,51,0,51,51.0000,0,no
"console/src/main/java/org/apache/syncope/console/pages/panels/PushTasksPanel.java/getActions(String, IModel)",26,51,2,3,2,1,7,1,1,51,0,51,51.0000,0,no
core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java/find(Long),4,7,1,1,2,1,2,1,1,7,0,7,7.0000,0,no
core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java/find(Long),5,7,1,1,2,1,2,1,1,7,0,7,7.0000,0,no
"console/src/main/java/org/apache/syncope/console/pages/panels/PushTasksPanel.java/getActions(String, IModel)",19,51,2,3,2,1,7,1,1,51,0,51,51.0000,0,no
core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java/find(Long),1,7,1,1,2,1,2,1,1,7,0,7,7.0000,0,no
core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java/find(Long),2,7,1,1,2,1,2,1,1,7,0,7,7.0000,0,no
core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java/find(Long),3,7,1,1,2,1,2,1,1,7,0,7,7.0000,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",18,41,4,15,4,1,8,7,2,111,3,41,16.2857,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",14,41,4,15,4,1,8,6,2,111,3,41,19.0000,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",15,41,4,15,4,1,8,7,2,111,3,41,16.2857,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",16,41,4,15,4,1,8,7,2,111,3,41,16.2857,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",17,41,4,15,4,1,8,7,2,111,3,41,16.2857,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",10,41,4,15,4,1,8,6,2,111,3,41,19.0000,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",11,41,4,15,4,1,8,6,2,111,3,41,19.0000,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",12,41,4,15,4,1,8,6,2,111,3,41,19.0000,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttributableSearchDAOImpl.java/getQuery(AttributableCond, boolean, List, AttributableUtil)",13,41,4,15,4,1,8,6,2,111,3,41,19.0000,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SubjectSearchDAOImpl.java/getQuery(SubjectCond, boolean, List, SubjectType, SearchSupport)",26,37,5,13,4,1,9,3,1,42,10,42,17.3333,0,yes
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SubjectSearchDAOImpl.java/getQuery(SubjectCond, boolean, List, SubjectType, SearchSupport)",21,37,5,13,4,1,9,3,1,42,10,42,17.3333,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SubjectSearchDAOImpl.java/getQuery(SubjectCond, boolean, List, SubjectType, SearchSupport)",22,37,5,13,4,1,9,3,1,42,10,42,17.3333,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SubjectSearchDAOImpl.java/getQuery(SubjectCond, boolean, List, SubjectType, SearchSupport)",23,37,5,13,4,1,9,3,1,42,10,42,17.3333,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SubjectSearchDAOImpl.java/getQuery(SubjectCond, boolean, List, SubjectType, SearchSupport)",20,37,5,13,4,1,9,3,1,42,10,42,17.3333,0,no
"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SubjectSearchDAOImpl.java/getQuery(SubjectCond, boolean, List, SubjectType, SearchSupport)",19,42,5,15,4,1,9,1,1,42,0,42,42.0000,0,no
"client/old_console/src/main/java/org/apache/syncope/client/console/pages/Schema.java/getColumns(WebMarkupContainer, ModalWindow, AttributableType, SchemaType, Collection)",25,72,5,8,5,2,16,1,1,72,0,72,72.0000,0,no
