Feature,SpearmanCorrelation
LOC,0.1634
TotalStmtAdded,0.1617
MaxChurn,0.1585
NumBranches,0.1485
NumAuthors,0.1439
NestingDepth,0.1407
AvgChurn,0.1401
NumLocalVariables,0.1282
NumRevisions,0.1106
NumCodeSmells,0.1011
TotalStmtDeleted,0.0813
NumParameters,0.0276
HasFixHistory,0.0027
