Feature,SpearmanCorrelation
NumLocalVariables,0.0930
MaxChurn,0.0904
NumCodeSmells,0.0901
TotalStmtAdded,0.0877
LOC,0.0849
AvgChurn,0.0756
NumRevisions,0.0730
NumBranches,0.0656
NestingDepth,0.0638
TotalStmtDeleted,0.0637
NumAuthors,0.0520
NumParameters,0.0437
HasFixHistory,0.0378
