key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
BOOKKEEPER-710,2013-11-23,2014-04-11,4.2.2,4.3.0,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-711,2013-12-03,2013-12-05,4.2.2,4.3.0,4.3.0,4.2.2,1
BOOKKEEPER-712,2013-12-05,2013-12-05,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-714,2013-12-31,2014-03-10,4.2.2,4.3.0,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-719,2014-01-21,2014-01-21,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-720,2014-01-21,2014-01-22,4.2.1,4.3.0,4.3.0,4.2.1;4.2.2,1
BOOKKEEPER-724,2014-02-02,2014-02-06,4.2.2,4.3.0,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-727,2014-02-04,2014-02-05,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-729,2014-02-04,2014-02-06,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-728,2014-02-04,2014-02-06,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-725,2014-02-04,2014-02-06,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-726,2014-02-04,2014-03-10,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-731,2014-02-06,2014-02-10,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-730,2014-02-06,2014-03-07,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-740,2014-03-07,2014-03-10,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-743,2014-04-04,2014-04-24,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-742,2014-04-04,2014-04-24,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-744,2014-04-04,2014-05-06,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,2
BOOKKEEPER-745,2014-04-04,2014-06-02,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-746,2014-04-04,2014-06-03,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-750,2014-04-29,2014-05-23,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,2
BOOKKEEPER-751,2014-05-07,2014-05-30,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-763,2014-05-29,2014-05-30,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-766,2014-06-03,2014-06-05,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-765,2014-06-03,2014-06-10,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-767,2014-06-04,2014-06-06,4.2.2,4.2.3,4.2.3,4.2.2;4.3.0,1
BOOKKEEPER-768,2014-06-17,2014-07-15,4.2.2,4.2.3,4.3.1,4.2.2;4.3.0;4.2.3,1
BOOKKEEPER-769,2014-06-19,2016-03-16,4.2.2,4.2.3,4.4.0,4.2.2;4.3.0;4.2.3;4.3.1;4.3.2,1
BOOKKEEPER-774,2014-07-26,2014-08-14,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-780,2014-08-28,2014-09-04,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-779,2014-08-28,2014-09-06,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-777,2014-08-28,2014-09-06,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-778,2014-08-28,2014-09-09,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-783,2014-09-12,2014-09-17,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-784,2014-09-12,2014-09-18,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-785,2014-09-17,2014-09-18,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-786,2014-09-20,2014-09-22,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-793,2014-10-13,2014-10-15,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-794,2014-10-17,2016-04-05,4.2.3,4.3.1,4.4.0,4.2.3;4.3.1;4.3.2,1
BOOKKEEPER-795,2014-10-27,2014-12-09,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-797,2014-11-19,2014-11-19,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-800,2014-11-21,2014-12-05,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-799,2014-11-21,2014-12-09,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-803,2014-11-21,2014-12-12,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-801,2014-11-21,2014-12-12,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-802,2014-11-21,2015-09-07,4.2.3,4.3.1,4.3.2,4.2.3;4.3.1,1
BOOKKEEPER-804,2014-11-24,2014-12-06,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-805,2014-11-25,2014-12-06,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,2
BOOKKEEPER-815,2014-12-04,2014-12-05,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3;4.2.3,1
BOOKKEEPER-813,2014-12-04,2014-12-06,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-809,2014-12-04,2014-12-06,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,2
BOOKKEEPER-814,2014-12-04,2014-12-10,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-821,2014-12-08,2015-05-20,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-823,2014-12-10,2015-07-07,4.2.3,4.3.1,4.3.2,4.2.3;4.3.1,1
BOOKKEEPER-828,2014-12-16,2015-03-18,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-831,2014-12-17,2015-03-12,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-833,2014-12-23,2015-04-21,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-834,2015-01-13,2015-03-18,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,1
BOOKKEEPER-835,2015-01-16,2015-05-19,4.3.0,4.3.1,4.3.1,4.3.0;4.2.3,2
