id,releaseName,releaseDate,numOfCommits
1,4.0.0,2011-12-07,92
2,4.1.0,2012-06-13,111
3,4.1.1,2013-01-16,199
4,4.2.1,2013-03-27,23
5,4.2.2,2013-10-10,51
