@relation BOOKKEEPER-Training-2

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumAuthors numeric
@attribute NumRevisions numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumLocalVariables numeric
@attribute NumCodeSmells numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute IsBuggy {no,yes}

@data
1,1,3,3,6,5,0,0,0,0,6,3.666667,no
9,3,2,3,9,0,2,1,1,0,6,3,no
1,3,2,2,23,22,0,0,0,0,23,22.5,no
2,5,2,3,29,27,0,0,1,0,27,18.666667,no
2,5,1,1,2,0,0,0,1,0,2,2,no
25,6,1,1,25,0,4,2,3,0,25,25,yes
1,2,1,1,1,0,0,0,0,0,1,1,yes
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,yes
8,0,1,2,8,0,2,1,1,0,8,4,no
1,1,2,2,1,0,0,0,0,0,1,0.5,yes
3,1,1,1,3,0,1,1,1,0,3,3,no
7,0,1,1,7,0,2,2,1,0,7,7,no
29,2,2,2,29,0,5,2,3,0,28,14.5,yes
13,1,1,2,13,0,2,2,0,0,13,6.5,no
10,5,1,1,10,0,2,2,0,0,10,10,no
25,1,2,2,25,0,4,2,0,0,21,12.5,yes
4,2,1,1,4,0,1,1,0,0,4,4,no
2,3,1,1,5,0,1,1,0,0,5,5,no
6,4,1,1,6,0,0,0,1,0,6,6,no
3,4,1,1,3,0,0,0,1,0,3,3,no
5,3,1,1,5,0,0,0,1,0,5,5,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,2,2,1,0,0,0,0,0,1,0.5,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
