Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
SYNCOPE,6,IBk,none,none,none,0.263,0.341,0.851,0.288,0.297
SYNCOPE,6,RandomForest,BestFirst,none,none,0.222,0.136,0.712,0.162,0.169
SYNCOPE,6,NaiveBayes,BestFirst,none,none,0.071,0.364,0.718,0.103,0.119
SYNCOPE,6,IBk,BestFirst,none,none,0.316,0.136,0.714,0.185,0.190
SYNCOPE,6,RandomForest,none,SMOTE,none,0.160,0.386,0.869,0.215,0.227
SYNCOPE,6,NaiveBayes,none,SMOTE,none,0.049,0.591,0.823,0.073,0.091
SYNCOPE,6,IBk,none,SMOTE,none,0.100,0.477,0.847,0.150,0.165
SYNCOPE,6,RandomForest,none,none,SensitiveThreshold,0.209,0.432,0.899,0.271,0.281
SYNCOPE,6,NaiveBayes,none,none,SensitiveThreshold,0.056,0.545,0.825,0.083,0.101
SYNCOPE,6,IBk,none,none,SensitiveThreshold,0.216,0.545,0.851,0.299,0.310
SYNCOPE,7,RandomForest,none,none,none,0.545,0.286,0.690,0.371,0.375
SYNCOPE,7,NaiveBayes,none,none,none,0.037,0.238,0.691,0.048,0.065
SYNCOPE,7,IBk,none,none,none,0.414,0.286,0.699,0.332,0.338
SYNCOPE,7,RandomForest,BestFirst,none,none,0.467,0.167,0.583,0.242,0.246
SYNCOPE,7,NaiveBayes,BestFirst,none,none,0.060,0.238,0.675,0.081,0.096
SYNCOPE,7,IBk,BestFirst,none,none,0.500,0.167,0.592,0.246,0.250
SYNCOPE,7,RandomForest,none,SMOTE,none,0.174,0.381,0.729,0.228,0.239
SYNCOPE,7,NaiveBayes,none,SMOTE,none,0.036,0.429,0.708,0.048,0.066
SYNCOPE,7,IBk,none,SMOTE,none,0.131,0.405,0.711,0.185,0.198
SYNCOPE,7,RandomForest,none,none,SensitiveThreshold,0.286,0.381,0.692,0.319,0.327
SYNCOPE,7,NaiveBayes,none,none,SensitiveThreshold,0.039,0.286,0.691,0.051,0.068
SYNCOPE,7,IBk,none,none,SensitiveThreshold,0.235,0.381,0.699,0.282,0.291
SYNCOPE,8,RandomForest,none,none,none,0.800,0.071,0.796,0.129,0.131
SYNCOPE,8,NaiveBayes,none,none,none,0.050,0.304,0.758,0.064,0.086
SYNCOPE,8,IBk,none,none,none,0.171,0.107,0.751,0.123,0.132
SYNCOPE,8,RandomForest,BestFirst,none,none,0.375,0.054,0.526,0.091,0.094
SYNCOPE,8,NaiveBayes,BestFirst,none,none,0.046,0.196,0.732,0.054,0.075
SYNCOPE,8,IBk,BestFirst,none,none,0.333,0.089,0.514,0.136,0.141
SYNCOPE,8,RandomForest,none,SMOTE,none,0.345,0.179,0.798,0.228,0.235
SYNCOPE,8,NaiveBayes,none,SMOTE,none,0.046,0.589,0.766,0.061,0.085
SYNCOPE,8,IBk,none,SMOTE,none,0.076,0.321,0.755,0.103,0.122
SYNCOPE,8,RandomForest,none,none,SensitiveThreshold,0.529,0.161,0.805,0.242,0.247
SYNCOPE,8,NaiveBayes,none,none,SensitiveThreshold,0.054,0.411,0.758,0.074,0.096
SYNCOPE,8,IBk,none,none,SensitiveThreshold,0.185,0.214,0.751,0.187,0.198
SYNCOPE,9,RandomForest,none,none,none,0.968,0.577,0.949,0.720,0.723
SYNCOPE,9,NaiveBayes,none,none,none,0.043,0.212,0.742,0.051,0.071
SYNCOPE,9,IBk,none,none,none,0.906,0.558,0.950,0.687,0.690
SYNCOPE,9,RandomForest,BestFirst,none,none,0.909,0.192,0.841,0.314,0.317
SYNCOPE,9,NaiveBayes,BestFirst,none,none,0.057,0.096,0.687,0.057,0.071
SYNCOPE,9,IBk,BestFirst,none,none,0.900,0.173,0.829,0.287,0.290
SYNCOPE,9,RandomForest,none,SMOTE,none,0.438,0.673,0.948,0.523,0.530
SYNCOPE,9,NaiveBayes,none,SMOTE,none,0.046,0.462,0.749,0.062,0.083
SYNCOPE,9,IBk,none,SMOTE,none,0.407,0.673,0.950,0.499,0.507
SYNCOPE,9,RandomForest,none,none,SensitiveThreshold,0.487,0.712,0.950,0.572,0.578
SYNCOPE,9,NaiveBayes,none,none,SensitiveThreshold,0.046,0.288,0.742,0.059,0.079
SYNCOPE,9,IBk,none,none,SensitiveThreshold,0.474,0.712,0.950,0.563,0.569
SYNCOPE,10,RandomForest,none,none,none,0.920,0.469,0.930,0.619,0.622
SYNCOPE,10,NaiveBayes,none,none,none,0.039,0.184,0.726,0.045,0.064
SYNCOPE,10,IBk,none,none,none,0.852,0.469,0.919,0.602,0.605
SYNCOPE,10,RandomForest,BestFirst,none,none,0.889,0.163,0.793,0.273,0.276
SYNCOPE,10,NaiveBayes,BestFirst,none,none,0.051,0.082,0.718,0.049,0.063
SYNCOPE,10,IBk,BestFirst,none,none,0.889,0.163,0.794,0.273,0.276
SYNCOPE,10,RandomForest,none,SMOTE,none,0.301,0.694,0.906,0.410,0.420
SYNCOPE,10,NaiveBayes,none,SMOTE,none,0.040,0.347,0.732,0.051,0.071
SYNCOPE,10,IBk,none,SMOTE,none,0.266,0.694,0.916,0.374,0.384
SYNCOPE,10,RandomForest,none,none,SensitiveThreshold,0.438,0.653,0.914,0.518,0.525
SYNCOPE,10,NaiveBayes,none,none,SensitiveThreshold,0.038,0.224,0.726,0.046,0.065
SYNCOPE,10,IBk,none,none,SensitiveThreshold,0.432,0.653,0.919,0.513,0.520
SYNCOPE,11,RandomForest,none,none,none,0.962,0.510,0.923,0.664,0.667
SYNCOPE,11,NaiveBayes,none,none,none,0.048,0.224,0.733,0.061,0.079
SYNCOPE,11,IBk,none,none,none,0.885,0.469,0.884,0.610,0.613
SYNCOPE,11,RandomForest,BestFirst,none,none,0.800,0.245,0.802,0.372,0.375
SYNCOPE,11,NaiveBayes,BestFirst,none,none,0.063,0.143,0.723,0.072,0.088
SYNCOPE,11,IBk,BestFirst,none,none,0.786,0.224,0.774,0.346,0.349
SYNCOPE,11,RandomForest,none,SMOTE,none,0.310,0.714,0.905,0.423,0.432
SYNCOPE,11,NaiveBayes,none,SMOTE,none,0.041,0.327,0.746,0.052,0.072
SYNCOPE,11,IBk,none,SMOTE,none,0.250,0.714,0.891,0.359,0.370
SYNCOPE,11,RandomForest,none,none,SensitiveThreshold,0.375,0.673,0.905,0.474,0.482
