Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
SYNCOPE,26,RandomForest,none,none,none,0.000,0.000,0.557,-0.000,0.000
SYNCOPE,26,NaiveBayes,none,none,none,0.011,0.115,0.691,0.015,0.021
SYNCOPE,26,IBk,none,none,none,0.000,0.000,0.553,-0.001,0.000
SYNCOPE,26,RandomForest,BestFirst,none,none,0.000,0.000,0.399,-0.001,0.000
SYNCOPE,26,NaiveBayes,BestFirst,none,none,0.018,0.115,0.655,0.026,0.032
SYNCOPE,26,IBk,BestFirst,none,none,0.000,0.000,0.360,-0.002,0.000
SYNCOPE,26,RandomForest,none,SMOTE,none,0.067,0.038,0.625,0.046,0.049
SYNCOPE,26,NaiveBayes,none,SMOTE,none,0.013,0.231,0.697,0.018,0.024
SYNCOPE,26,IBk,none,SMOTE,none,0.009,0.115,0.572,0.010,0.016
SYNCOPE,26,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.635,-0.002,0.000
SYNCOPE,26,NaiveBayes,none,none,SensitiveThreshold,0.010,0.115,0.691,0.013,0.019
SYNCOPE,26,IBk,none,none,SensitiveThreshold,0.000,0.000,0.553,-0.003,0.000
SYNCOPE,27,RandomForest,none,none,none,0.333,0.023,0.652,0.042,0.043
SYNCOPE,27,NaiveBayes,none,none,none,0.071,0.341,0.844,0.108,0.118
SYNCOPE,27,IBk,none,none,none,0.400,0.091,0.592,0.146,0.148
SYNCOPE,27,RandomForest,BestFirst,none,none,1.000,0.023,0.616,0.044,0.044
SYNCOPE,27,NaiveBayes,BestFirst,none,none,0.091,0.318,0.863,0.133,0.141
SYNCOPE,27,IBk,BestFirst,none,none,0.667,0.045,0.460,0.084,0.085
SYNCOPE,27,RandomForest,none,SMOTE,none,0.500,0.091,0.640,0.152,0.154
SYNCOPE,27,NaiveBayes,none,SMOTE,none,0.045,0.455,0.837,0.072,0.082
SYNCOPE,27,IBk,none,SMOTE,none,0.111,0.250,0.646,0.146,0.154
SYNCOPE,27,RandomForest,none,none,SensitiveThreshold,0.238,0.114,0.663,0.150,0.154
SYNCOPE,27,NaiveBayes,none,none,SensitiveThreshold,0.067,0.364,0.844,0.104,0.113
SYNCOPE,27,IBk,none,none,SensitiveThreshold,0.259,0.159,0.592,0.193,0.197
SYNCOPE,28,RandomForest,none,none,none,1.000,0.617,0.954,0.762,0.763
SYNCOPE,28,NaiveBayes,none,none,none,0.073,0.340,0.856,0.110,0.120
SYNCOPE,28,IBk,none,none,none,0.935,0.617,0.947,0.742,0.744
SYNCOPE,28,RandomForest,BestFirst,none,none,1.000,0.213,0.842,0.349,0.351
SYNCOPE,28,NaiveBayes,BestFirst,none,none,0.097,0.277,0.865,0.135,0.144
SYNCOPE,28,IBk,BestFirst,none,none,1.000,0.213,0.825,0.349,0.351
SYNCOPE,28,RandomForest,none,SMOTE,none,0.917,0.702,0.956,0.794,0.795
SYNCOPE,28,NaiveBayes,none,SMOTE,none,0.046,0.468,0.852,0.073,0.084
SYNCOPE,28,IBk,none,SMOTE,none,0.423,0.702,0.939,0.524,0.528
SYNCOPE,28,RandomForest,none,none,SensitiveThreshold,0.884,0.809,0.954,0.843,0.844
SYNCOPE,28,NaiveBayes,none,none,SensitiveThreshold,0.066,0.362,0.856,0.101,0.111
SYNCOPE,28,IBk,none,none,SensitiveThreshold,0.809,0.809,0.947,0.807,0.809
