Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,5,IBk,BestFirst (backward),none,none,1.000,0.017,0.462,0.032,0.033,0.128
SYNCOPE,5,RandomForest,none,SMOTE,none,0.310,0.076,0.656,0.111,0.122,0.140
SYNCOPE,5,NaiveBayes,none,SMOTE,none,0.106,0.504,0.724,0.130,0.175,0.179
SYNCOPE,5,IBk,none,SMOTE,none,0.209,0.151,0.782,0.153,0.176,0.155
SYNCOPE,5,RandomForest,none,none,SensitiveThreshold,0.692,0.076,0.624,0.131,0.136,0.222
SYNCOPE,5,NaiveBayes,none,none,SensitiveThreshold,0.161,0.471,0.752,0.203,0.240,0.237
SYNCOPE,5,IBk,none,none,SensitiveThreshold,0.625,0.084,0.781,0.142,0.148,0.222
SYNCOPE,6,RandomForest,none,none,none,0.297,0.250,0.892,0.264,0.272,0.265
SYNCOPE,6,NaiveBayes,none,none,none,0.053,0.386,0.825,0.076,0.094,0.120
SYNCOPE,6,IBk,none,none,none,0.271,0.364,0.860,0.302,0.311,0.305
SYNCOPE,6,RandomForest,BestFirst (backward),none,none,0.333,0.159,0.753,0.210,0.215,0.225
SYNCOPE,6,NaiveBayes,BestFirst (backward),none,none,0.068,0.432,0.757,0.100,0.117,0.150
SYNCOPE,6,IBk,BestFirst (backward),none,none,0.318,0.159,0.699,0.206,0.212,0.219
SYNCOPE,6,RandomForest,none,SMOTE,none,0.171,0.432,0.873,0.233,0.245,0.260
SYNCOPE,6,NaiveBayes,none,SMOTE,none,0.049,0.523,0.824,0.071,0.090,0.133
SYNCOPE,6,IBk,none,SMOTE,none,0.111,0.500,0.857,0.166,0.181,0.219
SYNCOPE,6,RandomForest,none,none,SensitiveThreshold,0.231,0.545,0.893,0.314,0.324,0.344
SYNCOPE,6,NaiveBayes,none,none,SensitiveThreshold,0.051,0.432,0.825,0.073,0.092,0.123
SYNCOPE,6,IBk,none,none,SensitiveThreshold,0.215,0.591,0.860,0.304,0.315,0.345
SYNCOPE,7,RandomForest,none,none,none,0.706,0.286,0.717,0.403,0.407,0.446
SYNCOPE,7,NaiveBayes,none,none,none,0.036,0.214,0.690,0.045,0.062,0.066
SYNCOPE,7,IBk,none,none,none,0.600,0.286,0.702,0.383,0.387,0.410
SYNCOPE,7,RandomForest,BestFirst (backward),none,none,0.571,0.095,0.701,0.161,0.163,0.230
SYNCOPE,7,NaiveBayes,BestFirst (backward),none,none,0.051,0.214,0.690,0.067,0.082,0.086
SYNCOPE,7,IBk,BestFirst (backward),none,none,0.500,0.095,0.707,0.157,0.160,0.215
SYNCOPE,7,RandomForest,none,SMOTE,none,0.182,0.381,0.716,0.236,0.246,0.252
SYNCOPE,7,NaiveBayes,none,SMOTE,none,0.032,0.310,0.707,0.040,0.057,0.071
SYNCOPE,7,IBk,none,SMOTE,none,0.116,0.405,0.709,0.167,0.180,0.202
SYNCOPE,7,RandomForest,none,none,SensitiveThreshold,0.250,0.381,0.708,0.293,0.302,0.300
SYNCOPE,7,NaiveBayes,none,none,SensitiveThreshold,0.038,0.262,0.690,0.049,0.066,0.076
SYNCOPE,7,IBk,none,none,SensitiveThreshold,0.222,0.381,0.702,0.271,0.281,0.281
SYNCOPE,8,RandomForest,none,none,none,1.000,0.071,0.803,0.132,0.133,0.266
SYNCOPE,8,NaiveBayes,none,none,none,0.052,0.286,0.758,0.067,0.088,0.094
SYNCOPE,8,IBk,none,none,none,0.226,0.125,0.764,0.153,0.161,0.160
SYNCOPE,8,RandomForest,BestFirst (backward),none,none,0.800,0.071,0.656,0.129,0.131,0.237
SYNCOPE,8,NaiveBayes,BestFirst (backward),none,none,0.058,0.161,0.666,0.066,0.085,0.076
SYNCOPE,8,IBk,BestFirst (backward),none,none,0.667,0.071,0.625,0.127,0.129,0.215
SYNCOPE,8,RandomForest,none,SMOTE,none,0.476,0.179,0.801,0.254,0.260,0.286
SYNCOPE,8,NaiveBayes,none,SMOTE,none,0.052,0.571,0.765,0.072,0.095,0.139
SYNCOPE,8,IBk,none,SMOTE,none,0.095,0.268,0.765,0.123,0.140,0.140
SYNCOPE,8,RandomForest,none,none,SensitiveThreshold,0.833,0.179,0.822,0.291,0.294,0.383
SYNCOPE,8,NaiveBayes,none,none,SensitiveThreshold,0.049,0.321,0.758,0.063,0.085,0.096
SYNCOPE,8,IBk,none,none,SensitiveThreshold,0.254,0.286,0.764,0.258,0.269,0.259
SYNCOPE,9,RandomForest,none,none,none,1.000,0.577,0.950,0.729,0.732,0.758
SYNCOPE,9,NaiveBayes,none,none,none,0.042,0.192,0.738,0.049,0.069,0.065
SYNCOPE,9,IBk,none,none,none,0.912,0.596,0.960,0.718,0.721,0.735
SYNCOPE,9,RandomForest,BestFirst (backward),none,none,0.882,0.288,0.859,0.431,0.435,0.502
SYNCOPE,9,NaiveBayes,BestFirst (backward),none,none,0.041,0.135,0.718,0.045,0.063,0.053
SYNCOPE,9,IBk,BestFirst (backward),none,none,0.933,0.269,0.851,0.415,0.418,0.499
SYNCOPE,9,RandomForest,none,SMOTE,none,0.541,0.635,0.951,0.578,0.584,0.580
SYNCOPE,9,NaiveBayes,none,SMOTE,none,0.050,0.346,0.745,0.067,0.087,0.104
SYNCOPE,9,IBk,none,SMOTE,none,0.493,0.654,0.950,0.556,0.562,0.561
SYNCOPE,9,RandomForest,none,none,SensitiveThreshold,0.447,0.731,0.964,0.548,0.555,0.565
SYNCOPE,9,NaiveBayes,none,none,SensitiveThreshold,0.043,0.231,0.738,0.052,0.072,0.073
SYNCOPE,9,IBk,none,none,SensitiveThreshold,0.500,0.731,0.960,0.588,0.594,0.599
SYNCOPE,10,RandomForest,none,none,none,0.889,0.490,0.923,0.628,0.632,0.657
SYNCOPE,10,NaiveBayes,none,none,none,0.040,0.184,0.720,0.048,0.066,0.063
SYNCOPE,10,IBk,none,none,none,0.857,0.490,0.919,0.620,0.623,0.645
SYNCOPE,10,RandomForest,BestFirst (backward),none,none,0.909,0.204,0.798,0.330,0.333,0.428
SYNCOPE,10,NaiveBayes,BestFirst (backward),none,none,0.053,0.143,0.720,0.062,0.078,0.070
SYNCOPE,10,IBk,BestFirst (backward),none,none,0.909,0.204,0.785,0.330,0.333,0.428
SYNCOPE,10,RandomForest,none,SMOTE,none,0.312,0.694,0.910,0.421,0.430,0.456
SYNCOPE,10,NaiveBayes,none,SMOTE,none,0.038,0.245,0.731,0.046,0.065,0.069
SYNCOPE,10,IBk,none,SMOTE,none,0.286,0.694,0.916,0.395,0.405,0.436
SYNCOPE,10,RandomForest,none,none,SensitiveThreshold,0.407,0.673,0.926,0.500,0.508,0.517
SYNCOPE,10,NaiveBayes,none,none,SensitiveThreshold,0.039,0.204,0.720,0.046,0.065,0.065
SYNCOPE,10,IBk,none,none,SensitiveThreshold,0.451,0.653,0.919,0.527,0.533,0.536
SYNCOPE,11,RandomForest,none,none,none,1.000,0.510,0.900,0.673,0.676,0.712
SYNCOPE,11,NaiveBayes,none,none,none,0.052,0.224,0.735,0.067,0.085,0.087
SYNCOPE,11,IBk,none,none,none,0.960,0.490,0.882,0.646,0.649,0.683
SYNCOPE,11,RandomForest,BestFirst (backward),none,none,1.000,0.245,0.790,0.391,0.393,0.493
SYNCOPE,11,NaiveBayes,BestFirst (backward),none,none,0.056,0.204,0.722,0.071,0.088,0.087
SYNCOPE,11,IBk,BestFirst (backward),none,none,1.000,0.245,0.778,0.391,0.393,0.493
SYNCOPE,11,RandomForest,none,SMOTE,none,0.079,0.776,0.894,0.125,0.144,0.226
SYNCOPE,11,NaiveBayes,none,SMOTE,none,0.039,0.265,0.750,0.048,0.068,0.074
SYNCOPE,11,IBk,none,SMOTE,none,0.079,0.796,0.901,0.124,0.143,0.228
SYNCOPE,11,RandomForest,none,none,SensitiveThreshold,0.362,0.694,0.901,0.467,0.476,0.493
SYNCOPE,11,NaiveBayes,none,none,SensitiveThreshold,0.045,0.224,0.735,0.056,0.075,0.077
SYNCOPE,11,IBk,none,none,SensitiveThreshold,0.344,0.673,0.882,0.447,0.455,0.473
SYNCOPE,12,RandomForest,none,none,none,0.962,0.463,0.834,0.622,0.625,0.665
SYNCOPE,12,NaiveBayes,none,none,none,0.051,0.204,0.752,0.063,0.082,0.079
SYNCOPE,12,IBk,none,none,none,0.893,0.463,0.860,0.606,0.610,0.640
SYNCOPE,12,RandomForest,BestFirst (backward),none,none,0.880,0.407,0.819,0.553,0.557,0.596
SYNCOPE,12,NaiveBayes,BestFirst (backward),none,none,0.055,0.204,0.749,0.068,0.087,0.084
